,BTC,ETH,BNB,XRP,SOL,ADA,DOGE,AVAX,DOT,LINK,TRX,SHIB,LTC,BCH,ATOM,UNI,XLM,ETC,NEAR,ICP,FIL,HBAR,APT,ARB,OP,AAVE,INJ
BTC,1.0,0.8987501450956098,0.726764611977703,0.8508804020047841,0.8653967491561044,0.8523556393527973,0.8243328393183782,0.7906923546321374,0.720131998020483,0.8561511529063391,0.4940121058270141,0.7486512534353276,0.6983199273255983,0.6109154728576263,0.6576414723727506,0.6245409359245068,0.839877929991047,0.7035707624118,0.6489711323486846,0.3114002355692999,0.36859648692674657,0.783154674761765,0.7134650242718262,0.7929948072401386,0.7494873933100208,0.7962391587666209,0.7696151804695582
ETH,0.8987501450956098,1.0,0.779678983687795,0.8435845165780768,0.9066524546030814,0.8836557646011735,0.8677279349161487,0.8218764286071903,0.7621999731291002,0.878167742514838,0.49880706622808596,0.805833901564764,0.7261956384097638,0.6401311511226836,0.7073909301878325,0.5800880271155158,0.8303906470465686,0.7565894478071079,0.6926892495011229,0.34153533646529083,0.4054232455414848,0.7567950398673179,0.7492464955364571,0.8406974388139332,0.7785716224330997,0.7865454744672542,0.7994235958398765
BNB,0.726764611977703,0.779678983687795,1.0,0.6966444077789375,0.7631028501442481,0.7407498580902158,0.7397745120223107,0.6843860297436398,0.6890487105946547,0.767575246917601,0.4566253594877222,0.7212490481918188,0.6786133815084112,0.5409355596084533,0.7042095429499832,0.501327978706488,0.6807485832127705,0.7061973565793299,0.6118316355546346,0.3362786207658628,0.39552135344825357,0.6634611442819562,0.710466621323833,0.7518802568213934,0.6708951853206824,0.651714317222591,0.7222588067355762
XRP,0.8508804020047841,0.8435845165780768,0.6966444077789375,1.0,0.8736160299283927,0.8666112315875151,0.8786041123029784,0.8108094243466001,0.7873406862556731,0.8803320582794918,0.4853138825115709,0.847839856759241,0.7187521562561102,0.5721132316757881,0.7654058736700234,0.7028288550758475,0.9146179231202042,0.77379718188347,0.6304647338365995,0.40633322022596835,0.3891072723829489,0.8628514334454293,0.7457642542484135,0.8613726784214403,0.8045405718773927,0.8342779383324286,0.832966761532113
SOL,0.8653967491561044,0.9066524546030814,0.7631028501442481,0.8736160299283927,1.0,0.879780928632331,0.8972295143372842,0.8129019176819102,0.7855471932709407,0.9043563856288245,0.49398263222626,0.8362092727201879,0.747672570537625,0.5974974437865743,0.7592767207373078,0.6095716267286928,0.8674852314461537,0.7516654073524027,0.6787633708730526,0.35796437292285266,0.4184782545098193,0.7936863352835701,0.7692623937551719,0.877522785311346,0.8362871238435536,0.8244210677056855,0.8369148922512647
ADA,0.8523556393527973,0.8836557646011735,0.7407498580902158,0.8666112315875151,0.879780928632331,1.0,0.9420048759196777,0.896747920207433,0.914236388814605,0.9172055514806684,0.534964813727647,0.9105286303055697,0.8064287245202678,0.5868576264932823,0.8490552465082821,0.6572721416459124,0.9201901482781752,0.8491916418751508,0.7718849985107209,0.4834120506284855,0.5227114636741135,0.8618459729412631,0.8427094871840723,0.9181017405462012,0.8805682251676721,0.8327443222403185,0.9170123576017306
DOGE,0.8243328393183782,0.8677279349161487,0.7397745120223107,0.8786041123029784,0.8972295143372842,0.9420048759196777,1.0,0.8786090091297494,0.8904021873866057,0.919645058357127,0.5729552833435887,0.930814280864041,0.8343834996537871,0.606557239628213,0.851195813248382,0.6418877030852552,0.9092998264105974,0.8668693651880314,0.7525523651137933,0.4874378614962911,0.5614223011536666,0.8524900108156436,0.8466267784398432,0.9184258175178402,0.8957851983740704,0.8004545149563721,0.9220484746313717
AVAX,0.7906923546321374,0.8218764286071903,0.6843860297436398,0.8108094243466001,0.8129019176819102,0.896747920207433,0.8786090091297494,1.0,0.8974925332397641,0.893452460832687,0.5348749559102502,0.8917246110028917,0.8135129082188056,0.613465941371314,0.8804059807338447,0.6495262690299681,0.8718924050140747,0.8597610710679651,0.7523915398163477,0.5197140982115958,0.5536680842040905,0.8131105361062694,0.8505470107423826,0.9296139759267293,0.8851689651231157,0.77506760237365,0.8829178866669993
DOT,0.720131998020483,0.7621999731291002,0.6890487105946547,0.7873406862556731,0.7855471932709407,0.914236388814605,0.8904021873866057,0.8974925332397641,1.0,0.8658778632284149,0.5688779685596864,0.9093416117487295,0.8803613136726975,0.5534815157677765,0.9015939063822985,0.6123751038784221,0.8623062377243809,0.9050508047280986,0.8604428190532506,0.5767848515103405,0.7091562193174505,0.794642645255311,0.8840352849393547,0.925881621284091,0.919468870565498,0.7471999778849484,0.9269391622459754
LINK,0.8561511529063391,0.878167742514838,0.767575246917601,0.8803320582794918,0.9043563856288245,0.9172055514806684,0.919645058357127,0.893452460832687,0.8658778632284149,1.0,0.5785496398468536,0.8878760960369692,0.7973243204482667,0.6006694737272951,0.8482237449281564,0.6584777926264603,0.9068868184978027,0.829038258805249,0.7342128826206259,0.49180483423701404,0.49910128720631014,0.8580753789235228,0.8199342301826699,0.9204181588673067,0.8825285799279832,0.8530575496876267,0.8901974941565913
TRX,0.4940121058270141,0.49880706622808596,0.4566253594877222,0.4853138825115709,0.49398263222626,0.534964813727647,0.5729552833435887,0.5348749559102502,0.5688779685596864,0.5785496398468536,1.0,0.5182984926195399,0.5341035240215886,0.3516482322464697,0.5863427378942673,0.4935527237003129,0.5332945234500734,0.5280269726784704,0.4664743982665555,0.36424255367380737,0.36076679668385614,0.5201060136608626,0.4911540929410167,0.5575323581481515,0.5819829513791102,0.484188896442409,0.5751360215376718
SHIB,0.7486512534353276,0.805833901564764,0.7212490481918188,0.847839856759241,0.8362092727201879,0.9105286303055697,0.930814280864041,0.8917246110028917,0.9093416117487295,0.8878760960369692,0.5182984926195399,1.0,0.8186835946116532,0.5549200065428607,0.8739906817395516,0.6226581829917591,0.868936379231556,0.8831333904471389,0.7774648077151584,0.5171307477212495,0.6004831338242256,0.8180768768666586,0.8564125967452177,0.930571727603969,0.8922982747367265,0.8196247441779988,0.9324306902288447
LTC,0.6983199273255983,0.7261956384097638,0.6786133815084112,0.7187521562561102,0.747672570537625,0.8064287245202678,0.8343834996537871,0.8135129082188056,0.8803613136726975,0.7973243204482667,0.5341035240215886,0.8186835946116532,1.0,0.5484502600168003,0.8072837691657011,0.5019900204232448,0.7747636096984818,0.8264323355510468,0.8444527738680296,0.5206319722083061,0.6517308774335236,0.7104998613172092,0.8306569304953273,0.8574791840357825,0.871631440183383,0.6397260566660774,0.8556963776128625
BCH,0.6109154728576263,0.6401311511226836,0.5409355596084533,0.5721132316757881,0.5974974437865743,0.5868576264932823,0.606557239628213,0.613465941371314,0.5534815157677765,0.6006694737272951,0.3516482322464697,0.5549200065428607,0.5484502600168003,1.0,0.5198112686357357,0.4686281834437808,0.5885064277196057,0.6411123050567933,0.45659595044096174,0.21013418063074574,0.3673214516863281,0.5539270437191789,0.5207479495803756,0.5836733179697753,0.49987680647479527,0.5527743292451772,0.5840662064886718
ATOM,0.6576414723727506,0.7073909301878325,0.7042095429499832,0.7654058736700234,0.7592767207373078,0.8490552465082821,0.851195813248382,0.8804059807338447,0.9015939063822985,0.8482237449281564,0.5863427378942673,0.8739906817395516,0.8072837691657011,0.5198112686357357,1.0,0.6708345276463891,0.8341949735207855,0.8780503779800559,0.7528179733423734,0.5833761506592597,0.6232097247472044,0.8048524646738867,0.8806844189646804,0.9112035574233284,0.8846575742941101,0.7561487555652696,0.8954048759869969
UNI,0.6245409359245068,0.5800880271155158,0.501327978706488,0.7028288550758475,0.6095716267286928,0.6572721416459124,0.6418877030852552,0.6495262690299681,0.6123751038784221,0.6584777926264603,0.4935527237003129,0.6226581829917591,0.5019900204232448,0.4686281834437808,0.6708345276463891,1.0,0.6890576073573936,0.6336354069737797,0.45315243545731915,0.36729497877614015,0.3580044191451802,0.7179040219714536,0.59889784331315,0.6700298611451716,0.6376822977523634,0.6537294784847653,0.7066452101196243
XLM,0.839877929991047,0.8303906470465686,0.6807485832127705,0.9146179231202042,0.8674852314461537,0.9201901482781752,0.9092998264105974,0.8718924050140747,0.8623062377243809,0.9068868184978027,0.5332945234500734,0.868936379231556,0.7747636096984818,0.5885064277196057,0.8341949735207855,0.6890576073573936,1.0,0.8422093215199659,0.7109698499991397,0.4589946824985181,0.5151862685772189,0.9141300341194609,0.8063427450515082,0.9008181262859759,0.8489190114945137,0.82418186006278,0.8960678161351006
ETC,0.7035707624118,0.7565894478071079,0.7061973565793299,0.77379718188347,0.7516654073524027,0.8491916418751508,0.8668693651880314,0.8597610710679651,0.9050508047280986,0.829038258805249,0.5280269726784704,0.8831333904471389,0.8264323355510468,0.6411123050567933,0.8780503779800559,0.6336354069737797,0.8422093215199659,1.0,0.7926980053405586,0.530309732364824,0.756842000603489,0.7854722858907291,0.8223273580103422,0.8932849793472138,0.8254024336294384,0.7084100518193022,0.9035554604235869
NEAR,0.6489711323486846,0.6926892495011229,0.6118316355546346,0.6304647338365995,0.6787633708730526,0.7718849985107209,0.7525523651137933,0.7523915398163477,0.8604428190532506,0.7342128826206259,0.4664743982665555,0.7774648077151584,0.8444527738680296,0.45659595044096174,0.7528179733423734,0.45315243545731915,0.7109698499991397,0.7926980053405586,1.0,0.5853317246132831,0.8069175354935765,0.630531670589688,0.8055305096498306,0.8035079712190785,0.8272162467548763,0.6127210197734789,0.8184894402558766
ICP,0.3114002355692999,0.34153533646529083,0.3362786207658628,0.40633322022596835,0.35796437292285266,0.4834120506284855,0.4874378614962911,0.5197140982115958,0.5767848515103405,0.49180483423701404,0.36424255367380737,0.5171307477212495,0.5206319722083061,0.21013418063074574,0.5833761506592597,0.36729497877614015,0.4589946824985181,0.530309732364824,0.5853317246132831,1.0,0.5598633909631076,0.44367701110683894,0.48792091196480797,0.5590216823056201,0.5528079771543534,0.43200788924326194,0.5129600765903968
FIL,0.36859648692674657,0.4054232455414848,0.39552135344825357,0.3891072723829489,0.4184782545098193,0.5227114636741135,0.5614223011536666,0.5536680842040905,0.7091562193174505,0.49910128720631014,0.36076679668385614,0.6004831338242256,0.6517308774335236,0.3673214516863281,0.6232097247472044,0.3580044191451802,0.5151862685772189,0.756842000603489,0.8069175354935765,0.5598633909631076,1.0,0.43988198877102513,0.6407589770726466,0.5928891029346428,0.6262205067877441,0.3866777295747076,0.6513136881756558
HBAR,0.783154674761765,0.7567950398673179,0.6634611442819562,0.8628514334454293,0.7936863352835701,0.8618459729412631,0.8524900108156436,0.8131105361062694,0.794642645255311,0.8580753789235228,0.5201060136608626,0.8180768768666586,0.7104998613172092,0.5539270437191789,0.8048524646738867,0.7179040219714536,0.9141300341194609,0.7854722858907291,0.630531670589688,0.44367701110683894,0.43988198877102513,1.0,0.7732060039483272,0.8329968413616919,0.7831743836236994,0.7953394648656064,0.8369450221897905
APT,0.7134650242718262,0.7492464955364571,0.710466621323833,0.7457642542484135,0.7692623937551719,0.8427094871840723,0.8466267784398432,0.8505470107423826,0.8840352849393547,0.8199342301826699,0.4911540929410167,0.8564125967452177,0.8306569304953273,0.5207479495803756,0.8806844189646804,0.59889784331315,0.8063427450515082,0.8223273580103422,0.8055305096498306,0.48792091196480797,0.6407589770726466,0.7732060039483272,1.0,0.8787908056618753,0.8983595210399814,0.7102393983419296,0.8847983796418117
ARB,0.7929948072401386,0.8406974388139332,0.7518802568213934,0.8613726784214403,0.877522785311346,0.9181017405462012,0.9184258175178402,0.9296139759267293,0.925881621284091,0.9204181588673067,0.5575323581481515,0.930571727603969,0.8574791840357825,0.5836733179697753,0.9112035574233284,0.6700298611451716,0.9008181262859759,0.8932849793472138,0.8035079712190785,0.5590216823056201,0.5928891029346428,0.8329968413616919,0.8787908056618753,1.0,0.934841226128431,0.8114757167007224,0.9412933091870248
OP,0.7494873933100208,0.7785716224330997,0.6708951853206824,0.8045405718773927,0.8362871238435536,0.8805682251676721,0.8957851983740704,0.8851689651231157,0.919468870565498,0.8825285799279832,0.5819829513791102,0.8922982747367265,0.871631440183383,0.49987680647479527,0.8846575742941101,0.6376822977523634,0.8489190114945137,0.8254024336294384,0.8272162467548763,0.5528079771543534,0.6262205067877441,0.7831743836236994,0.8983595210399814,0.934841226128431,1.0,0.7522916703249142,0.9263388233484823
AAVE,0.7962391587666209,0.7865454744672542,0.651714317222591,0.8342779383324286,0.8244210677056855,0.8327443222403185,0.8004545149563721,0.77506760237365,0.7471999778849484,0.8530575496876267,0.484188896442409,0.8196247441779988,0.6397260566660774,0.5527743292451772,0.7561487555652696,0.6537294784847653,0.82418186006278,0.7084100518193022,0.6127210197734789,0.43200788924326194,0.3866777295747076,0.7953394648656064,0.7102393983419296,0.8114757167007224,0.7522916703249142,1.0,0.7864851263671159
INJ,0.7696151804695582,0.7994235958398765,0.7222588067355762,0.832966761532113,0.8369148922512647,0.9170123576017306,0.9220484746313717,0.8829178866669993,0.9269391622459754,0.8901974941565913,0.5751360215376718,0.9324306902288447,0.8556963776128625,0.5840662064886718,0.8954048759869969,0.7066452101196243,0.8960678161351006,0.9035554604235869,0.8184894402558766,0.5129600765903968,0.6513136881756558,0.8369450221897905,0.8847983796418117,0.9412933091870248,0.9263388233484823,0.7864851263671159,1.0
