,BTC,ETH,SOL,BNB,HYPE,ONDS,PLTR,LMT,NVDA,INTC,META,GLXY,MSFT,GOOGL,FANUC,Gold,Silver,URA,Oil,AES,S&P500
BTC,1.0,0.9055118747459072,0.8642525919998275,0.6959720343143725,0.7040969792394485,0.5150173534767496,0.4199611290072657,0.18767536631560713,0.3763215908989249,0.5296018270291658,0.26466900152296596,0.5951301438486243,0.282844801245596,0.3319787110911952,0.20037900497523517,0.20878891025427063,0.23486594341609948,0.4573540952103758,0.19671356731377762,0.1837376128390446,0.6105021408682443
ETH,0.9055118747459072,1.0,0.9181069237426893,0.7954679826406463,0.8350170202255266,0.5434452339010631,0.42844768844793346,0.20875731288003602,0.4058387511042013,0.5016129064115656,0.2669954098560571,0.612390667515083,0.22784459614353494,0.45261329196253686,0.19021903157327916,0.19280626324447048,0.21474949126984366,0.4909057453341495,0.22158521218393185,0.21831984620636105,0.6484410400675714
SOL,0.8642525919998275,0.9181069237426893,1.0,0.8028009516769025,0.8336554529553514,0.5719284028378644,0.33770210738349093,0.16833354892784666,0.35587025865375244,0.4672545107948735,0.2875124068065426,0.545179022863481,0.16129798083612856,0.331892011156091,0.08954399012208825,0.15431734517266368,0.1803598351099328,0.45751909493445564,0.21771906146099376,0.19008518379333783,0.5646905515448157
BNB,0.6959720343143725,0.7954679826406463,0.8028009516769025,1.0,0.7861503370576026,0.5194393691485509,0.28334384685498465,0.19404969804634553,0.2754322176216977,0.38683911692379097,0.2323030202375777,0.33651443975532724,0.15496367665083555,0.24586610882200235,0.04965850853876779,0.18414835852158445,0.13824398927803136,0.3799845247942238,0.32751782436836707,0.18402157807530803,0.44140317480784313
HYPE,0.7040969792394485,0.8350170202255266,0.8336554529553514,0.7861503370576026,1.0,0.43092780854668866,0.25754760698414314,0.14174898361377067,0.2985353705712457,0.3754547211115942,0.272431750984684,0.45939738113149237,0.16090476740300455,0.2824483254361848,0.15181993026732007,0.12954539388490405,0.19076695054351736,0.3595214764117395,0.2309141618683474,0.23695459330508395,0.5592159552828223
ONDS,0.5150173534767496,0.5434452339010631,0.5719284028378644,0.5194393691485509,0.43092780854668866,1.0,0.23663681330662278,0.10734020758407826,0.17275921121937596,0.19599044922144085,0.2718019365398811,0.35529617519718804,0.03583602174167599,0.20350625801783193,0.07865282884388208,0.08444582425656554,-0.01964129897686786,0.42107448301364164,0.22414170385188137,-0.07415520362971147,0.31082659052937395
PLTR,0.4199611290072657,0.42844768844793346,0.33770210738349093,0.28334384685498465,0.25754760698414314,0.23663681330662278,1.0,-0.030307808867742446,0.6058889906659257,0.35942376495368356,0.39885841776943826,0.44197091287618256,0.4209297232190001,0.4733293285806083,0.16977979004725807,0.11850459436448263,0.05104624182541553,0.41533948669090753,0.18679247049138203,0.054672212469940085,0.6952887262411894
LMT,0.18767536631560713,0.20875731288003602,0.16833354892784666,0.19404969804634553,0.14174898361377067,0.10734020758407826,-0.030307808867742446,1.0,-0.05001045524608588,-0.03575078879559535,-0.136252320587941,0.12871183191539665,0.14440530066993515,-0.05182502248905316,0.07964875445785478,0.14681164464136454,0.05570550186220111,0.1565103235638087,0.12062041318486615,-0.02292579159590054,0.047685417552777803
NVDA,0.3763215908989249,0.4058387511042013,0.35587025865375244,0.2754322176216977,0.2985353705712457,0.17275921121937596,0.6058889906659257,-0.05001045524608588,1.0,0.35382078649040616,0.2901502617976211,0.2917983826496967,0.47042002923484927,0.3438918732373859,0.2511859711374237,0.0866735182875609,0.15521920456544896,0.46737476892700136,0.03942674376205842,0.1538382035369375,0.6293135179007484
INTC,0.5296018270291658,0.5016129064115656,0.4672545107948735,0.38683911692379097,0.3754547211115942,0.19599044922144085,0.35942376495368356,-0.03575078879559535,0.35382078649040616,1.0,0.2737656545366142,0.37856323630430816,0.20681608075929875,0.3645259374757051,0.022617293729546586,0.04357831007612587,0.25614578665352916,0.42059533291943546,0.06839907432528629,0.3634331200974822,0.5550978278745197
META,0.26466900152296596,0.2669954098560571,0.2875124068065426,0.2323030202375777,0.272431750984684,0.2718019365398811,0.39885841776943826,-0.136252320587941,0.2901502617976211,0.2737656545366142,1.0,0.17466160934287545,0.4911012368278714,0.1762749996580478,0.13558770470746975,-0.05692977159066576,-0.03607574019831396,0.21712523041427267,0.12291417935552357,0.07745282082115433,0.5084670722067096
GLXY,0.5951301438486243,0.612390667515083,0.545179022863481,0.33651443975532724,0.45939738113149237,0.35529617519718804,0.44197091287618256,0.12871183191539665,0.2917983826496967,0.37856323630430816,0.17466160934287545,1.0,0.15555309467976927,0.2240220770771886,0.2526014757554057,0.1367169819726421,0.147106749518724,0.48782075051431356,-0.015937416821684005,0.22249813105233276,0.5142381130139303
MSFT,0.282844801245596,0.22784459614353494,0.16129798083612856,0.15496367665083555,0.16090476740300455,0.03583602174167599,0.4209297232190001,0.14440530066993515,0.47042002923484927,0.20681608075929875,0.4911012368278714,0.15555309467976927,1.0,0.06921030747082825,0.18293677714903095,0.011536325013914443,0.08121729059100469,0.23833525900187882,0.07959237221619853,0.17686235931951796,0.5079552549934895
GOOGL,0.3319787110911952,0.45261329196253686,0.331892011156091,0.24586610882200235,0.2824483254361848,0.20350625801783193,0.4733293285806083,-0.05182502248905316,0.3438918732373859,0.3645259374757051,0.1762749996580478,0.2240220770771886,0.06921030747082825,1.0,0.13132225208838863,0.22011994355450762,0.14700121231038799,0.3518406568497844,0.17588041219433548,0.2011804914480528,0.5896668307945759
FANUC,0.20037900497523517,0.19021903157327916,0.08954399012208825,0.04965850853876779,0.15181993026732007,0.07865282884388208,0.16977979004725807,0.07964875445785478,0.2511859711374237,0.022617293729546586,0.13558770470746975,0.2526014757554057,0.18293677714903095,0.13132225208838863,1.0,0.1604049714075562,0.0703935796833642,0.18910306267597732,0.2794559965314144,0.07682923407751917,0.3325216323151106
Gold,0.20878891025427063,0.19280626324447048,0.15431734517266368,0.18414835852158445,0.12954539388490405,0.08444582425656554,0.11850459436448263,0.14681164464136454,0.0866735182875609,0.04357831007612587,-0.05692977159066576,0.1367169819726421,0.011536325013914443,0.22011994355450762,0.1604049714075562,1.0,0.731475391514298,0.28712026166334337,-0.05060670063520192,0.10367235191447845,0.18082306019285
Silver,0.23486594341609948,0.21474949126984366,0.1803598351099328,0.13824398927803136,0.19076695054351736,-0.01964129897686786,0.05104624182541553,0.05570550186220111,0.15521920456544896,0.25614578665352916,-0.03607574019831396,0.147106749518724,0.08121729059100469,0.14700121231038799,0.0703935796833642,0.731475391514298,1.0,0.24229630346116185,-0.03575512264152735,0.18866442748910797,0.20167059262686057
URA,0.4573540952103758,0.4909057453341495,0.45751909493445564,0.3799845247942238,0.3595214764117395,0.42107448301364164,0.41533948669090753,0.1565103235638087,0.46737476892700136,0.42059533291943546,0.21712523041427267,0.48782075051431356,0.23833525900187882,0.3518406568497844,0.18910306267597732,0.28712026166334337,0.24229630346116185,1.0,-0.040408098142866174,0.15244662871585604,0.4748106355038083
Oil,0.19671356731377762,0.22158521218393185,0.21771906146099376,0.32751782436836707,0.2309141618683474,0.22414170385188137,0.18679247049138203,0.12062041318486615,0.03942674376205842,0.06839907432528629,0.12291417935552357,-0.015937416821684005,0.07959237221619853,0.17588041219433548,0.2794559965314144,-0.05060670063520192,-0.03575512264152735,-0.040408098142866174,1.0,0.08150308713052987,0.22802584436634485
AES,0.1837376128390446,0.21831984620636105,0.19008518379333783,0.18402157807530803,0.23695459330508395,-0.07415520362971147,0.054672212469940085,-0.02292579159590054,0.1538382035369375,0.3634331200974822,0.07745282082115433,0.22249813105233276,0.17686235931951796,0.2011804914480528,0.07682923407751917,0.10367235191447845,0.18866442748910797,0.15244662871585604,0.08150308713052987,1.0,0.30251500691255273
S&P500,0.6105021408682443,0.6484410400675714,0.5646905515448157,0.44140317480784313,0.5592159552828223,0.31082659052937395,0.6952887262411894,0.047685417552777803,0.6293135179007484,0.5550978278745197,0.5084670722067096,0.5142381130139303,0.5079552549934895,0.5896668307945759,0.3325216323151106,0.18082306019285,0.20167059262686057,0.4748106355038083,0.22802584436634485,0.30251500691255273,1.0
